amfi_code,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,max_drawdown_date,scheme_name,fund_house,category,sub_category,expense_ratio_pct,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,final_score
125498,15.443720834451845,11.245222866621418,9.990638711344314,0.3006119210425478,0.508812819716923,11.98910097121797,0.009054412621739154,-21.11727956013212,2025-09-12,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,0.78,37.5,35.0,37.5,77.5,30.0,42.125
120844,7.120323042122512,6.695971624586994,6.055280871442981,-0.08874729621557331,-0.1877230477424232,6.4556774953759986,-0.00040074423947840013,-0.11629327956168556,2024-04-30,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,0.6,27.500000000000004,17.5,22.5,95.0,97.5,41.125
120841,16.837098075385626,17.26727508371786,11.736215772519,0.49427253786723496,0.8625738849916581,13.042924450705446,0.036356399022199795,-17.57361416468729,2025-02-14,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,1.59,47.5,42.5,40.0,15.0,42.5,39.375
118634,15.811221971300938,8.007927728656083,14.358247892501508,0.4484340089089914,0.7460146308533572,17.50072167561127,0.1034966369133759,-23.34488614483311,2026-02-20,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,1.53,35.0,37.5,57.49999999999999,31.25,22.5,38.3125
118636,10.454939683040276,4.062205023777143,4.598573072901702,-0.356629507514368,-0.6135251287271027,5.074772999976104,0.0012566742731558458,-8.316361763638703,2024-02-09,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,0.55,20.0,7.5,15.0,100.0,87.5,34.625
119120,5.5219955107626895,5.840358798463097,5.108771353646158,-0.22657538662791596,-0.3767670081706672,5.620895216638369,-0.006413850728276477,-4.328728923970093,2025-04-01,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,0.77,22.5,10.0,17.5,80.0,90.0,33.75
101208,7.23664530138024,6.315784491375509,5.708714371093349,-0.8155673679088278,-1.6810378667512837,6.086145795787115,0.00026670968338238433,-0.16224980244717857,2023-09-12,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,0.79,25.0,2.5,20.0,75.0,95.0,32.875
100025,3.704968580461343,3.9163899571040384,3.986647630120066,-0.5670947928476847,-0.9418212366054207,4.281792031506088,0.0011582183155281463,-4.308263824636349,2023-07-28,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,0.56,17.5,5.0,7.5,97.5,92.5,31.875
120842,22.50195657587366,7.756003551327284,5.510668933051677,0.07599984804658917,0.12469346986475664,7.80443887615508,0.01805687420811816,-24.003511326274886,2024-10-17,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,1.56,32.5,27.500000000000004,30.0,20.0,20.0,27.625
119599,13.947803355189968,-1.337386614488112,2.1910435832351416,-0.05718662582817997,-0.09438726129459607,4.882421594553985,0.06200180438267168,-52.57422117012851,2025-10-28,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,0.72,7.5,22.5,12.5,88.75,2.5,23.9375
119092,1.6091186722522632,0.5258871209757432,5.721639468307149,0.030784850954585913,0.05257398559304797,6.899529821677549,0.009730745001153637,-14.401617909337261,2025-02-07,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,1.64,12.5,25.0,27.500000000000004,3.75,62.5,22.3125
101207,-23.986031710270627,-4.152381044854481,7.187271340560786,0.1626607692864677,0.27664379626092334,10.897091901704538,-0.06528924788351524,-35.44691649336603,2026-05-11,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,1.53,5.0,32.5,35.0,31.25,7.5,22.0625
119095,-42.797614558854406,-11.705806723995272,0.9616830231914841,-0.07597357117478923,-0.12818559275851932,4.801595363775955,-0.066951174639292,-51.677753708526566,2026-05-11,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,1.38,2.5,20.0,10.0,60.0,5.0,17.25
100016,-2.224270997710287,1.292649342495622,2.529046249620115,-0.2015170675596694,-0.35104746015230903,3.747580763443281,-0.0582684314388089,-24.734440880673304,2022-09-15,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,1.55,15.0,15.0,5.0,22.5,17.5,14.375
102886,-16.797480944407305,-0.7674063178547241,0.8032695699041303,-0.20583160785470314,-0.34722230254727277,2.8969397866379443,-0.04212502902189432,-28.00112356639287,2026-04-27,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,1.51,10.0,12.5,2.5,41.25,15.0,14.3125
